Performance.KDTMean,Performance.MAMean,Performance.MVMean,Performance.TBCMean,Performance.DDCMean,Performance.DMSMean,Performance.AEDMean,Performance.ADMSLMean,ExhaustionLevel,Performance.Task
0.842741410393,0.449871201929,0.359851660804,0.372389708905,0.296425327837,0.231320701292,0.176940334208,0.315114244290,0.500000000000,0.000000000000
0.510767753024,0.450944912559,0.360250018369,0.390110100829,0.206272291375,0.232864585597,0.193957325785,0.344531999684,0.500000000000,0.000000000000
0.500870523254,0.455728568291,0.363785455331,0.366855410668,0.628145672208,0.237638085968,0.163390567148,0.382814566540,0.666666666667,0.000000000000
0.499834537628,0.458924605852,0.370768898994,0.374614016876,0.225179920387,0.223180975239,0.201454599789,0.296236662356,0.666666666667,0.000000000000
0.503782028843,0.473243287243,0.385899137154,0.376648912566,0.255857394411,0.245513970228,0.232467916050,0.362557039719,0.666666666667,0.000000000000
0.501093279480,0.446863457364,0.356009895343,0.363685275925,0.212443347257,0.227483389350,0.165688192196,0.303971476368,0.666666666667,0.000000000000
0.501243346323,0.412373947989,0.319093836531,0.364729327800,0.171900505216,0.225864019334,0.220468835248,0.278303890359,0.666666666667,0.000000000000
0.537141142130,0.439296781578,0.353327871813,0.385347558959,0.183885301554,0.231151979616,0.157611613399,0.303209993245,0.333333333333,0.000000000000
0.500397723294,0.433866311013,0.348510498328,0.360698360678,0.240890395183,0.224403472455,0.205298760482,0.282072430466,0.333333333333,0.000000000000
0.508071405378,0.409369548732,0.322744866410,0.377053616237,0.285515661416,0.232935773458,0.162099382644,0.296184919792,0.333333333333,0.000000000000
0.499392106355,0.412416835331,0.316358369852,0.361255594886,0.262199764470,0.226343269691,0.161327212849,0.289900704679,0.500000000000,0.000000000000
0.500484423059,0.450321584903,0.364470819996,0.384825194378,0.176862411072,0.227380960910,0.180586995883,0.292610117581,0.333333333333,0.000000000000
0.499897050583,0.446606698403,0.352918305334,0.361196015645,0.215197217062,0.246706906601,0.166980855072,0.338635509964,0.500000000000,0.000000000000
0.511250746226,0.461498947095,0.383386611146,0.362618169565,0.374629426837,0.225074261300,0.172359723403,0.284508741727,0.666666666667,0.000000000000
0.500873825542,0.484772618958,0.409075278970,0.376703907301,0.168805721283,0.221422280394,0.151405274617,0.340329954050,0.833333333333,0.000000000000
0.501422935327,0.485217573188,0.398384918600,0.371447514367,0.172429870039,0.255823077743,0.178034278047,0.394023146195,0.166666666667,0.000000000000
0.501264588325,0.413939055777,0.319533476997,0.363951386609,0.234996213561,0.220372048910,0.196182880261,0.261405262258,0.166666666667,0.000000000000
0.500289998941,0.425022014712,0.338821499728,0.362955435720,0.168805721283,0.240657726099,0.225320499105,0.335807262692,0.166666666667,0.000000000000
0.501443522443,0.417923028550,0.326126850161,0.379601857447,0.197618604203,0.231866868268,0.154563203261,0.321801806668,0.333333333333,0.000000000000
0.500648133474,0.418214112848,0.328022854151,0.369218223044,0.244434779815,0.241694659536,0.165491079276,0.346210803954,0.333333333333,0.000000000000
0.499620177973,0.431366202332,0.341022432972,0.369741485649,0.224736066315,0.235415789155,0.193609783621,0.320406784598,0.333333333333,0.000000000000
